sample_nr,compound,Name,Type,Area,conc,pre_crop,trt,pre_crop_long
44,MBOA,20201001_VG_Soil_Bx_Exp12_Gly_w_07,Analyte,491.496,63.9,Gly,w,Glycine_max
45,MBOA,20201001_VG_Soil_Bx_Exp12_Pha_w_11,Analyte,392.058,51.6,Pha,w,Phacelia_tanacetifolia
46,MBOA,20201001_VG_Soil_Bx_Exp12_Bra_w_07,Analyte,256.072,34.8,Bra,w,Brassica_napus
24,AMPO,20201001_VG_Soil_Bx_Exp12_Tri_w_05,Analyte,292.186,29.3,Tri,w,Triticum_aestivum
25,AMPO,20201001_VG_Soil_Bx_Exp12_Tri_w_03,Analyte,217.571,22.7,Tri,w,Triticum_aestivum
26,AMPO,20201001_VG_Soil_Bx_Exp12_Pha_w_12,Analyte,208.341,21.9,Pha,w,Phacelia_tanacetifolia
27,AMPO,20201001_VG_Soil_Bx_Exp12_Med_w_10,Analyte,409.139,39.7,Med,w,Medicago_sativa
28,AMPO,20201001_VG_Soil_Bx_Exp12_Gly_w_03,Analyte,349.66,34.4,Gly,w,Glycine_max
29,AMPO,20201001_VG_Soil_Bx_Exp12_Gly_b_08,Analyte,2.718,3.8,Gly,b,Glycine_max
30,AMPO,20201001_VG_Soil_Bx_Exp12_Pha_b_08,Analyte,3.636,3.8,Pha,b,Phacelia_tanacetifolia
31,AMPO,20201001_VG_Soil_Bx_Exp12_Tri_w_01,Analyte,362.267,35.5,Tri,w,Triticum_aestivum
32,AMPO,20201001_VG_Soil_Bx_Exp12_Tri_b_03,Analyte,0.905,3.6,Tri,b,Triticum_aestivum
33,AMPO,20201001_VG_Soil_Bx_Exp12_Pha_w_09,Analyte,259.204,26.4,Pha,w,Phacelia_tanacetifolia
34,AMPO,20201001_VG_Soil_Bx_Exp12_Gly_w_08,Analyte,211.345,22.2,Gly,w,Glycine_max
35,AMPO,20201001_VG_Soil_Bx_Exp12_Med_w_08,Analyte,406.422,39.4,Med,w,Medicago_sativa
36,AMPO,20201001_VG_Soil_Bx_Exp12_Bra_w_06,Analyte,307.709,30.7,Bra,w,Brassica_napus
37,AMPO,20201001_VG_Soil_Bx_Exp12_Bra_b_06,Analyte,NA,NA,Bra,b,Brassica_napus
38,AMPO,20201001_VG_Soil_Bx_Exp12_Tri_w_11,Analyte,180.068,19.4,Tri,w,Triticum_aestivum
39,AMPO,20201001_VG_Soil_Bx_Exp12_Med_b_05,Analyte,1.638,3.7,Med,b,Medicago_sativa
40,AMPO,20201001_VG_Soil_Bx_Exp12_Bra_w_12,Analyte,200.616,21.2,Bra,w,Brassica_napus
41,AMPO,20201001_VG_Soil_Bx_Exp12_Pha_w_01,Analyte,196.841,20.9,Pha,w,Phacelia_tanacetifolia
42,AMPO,20201001_VG_Soil_Bx_Exp12_Gly_w_05,Analyte,157.751,17.5,Gly,w,Glycine_max
43,AMPO,20201001_VG_Soil_Bx_Exp12_Med_w_12,Analyte,351.108,34.5,Med,w,Medicago_sativa
44,AMPO,20201001_VG_Soil_Bx_Exp12_Gly_w_07,Analyte,296.42,29.7,Gly,w,Glycine_max
45,AMPO,20201001_VG_Soil_Bx_Exp12_Pha_w_11,Analyte,187.505,20.1,Pha,w,Phacelia_tanacetifolia
46,AMPO,20201001_VG_Soil_Bx_Exp12_Bra_w_07,Analyte,338.454,33.4,Bra,w,Brassica_napus
24,HMBOA,20201001_VG_Soil_Bx_Exp12_Tri_w_05,Analyte,17.32,11.5,Tri,w,Triticum_aestivum
25,HMBOA,20201001_VG_Soil_Bx_Exp12_Tri_w_03,Analyte,20.266,12.8,Tri,w,Triticum_aestivum
26,HMBOA,20201001_VG_Soil_Bx_Exp12_Pha_w_12,Analyte,44.817,23.7,Pha,w,Phacelia_tanacetifolia
27,HMBOA,20201001_VG_Soil_Bx_Exp12_Med_w_10,Analyte,91.83,44.4,Med,w,Medicago_sativa
28,HMBOA,20201001_VG_Soil_Bx_Exp12_Gly_w_03,Analyte,53.404,27.5,Gly,w,Glycine_max
29,HMBOA,20201001_VG_Soil_Bx_Exp12_Gly_b_08,Analyte,8.278,7.5,Gly,b,Glycine_max
30,HMBOA,20201001_VG_Soil_Bx_Exp12_Pha_b_08,Analyte,NA,NA,Pha,b,Phacelia_tanacetifolia
