"sample_nr","Name","Type","compound","Area","ng_mL","pre_crop_trt","BX_comp","pre_crop","trt","trt_comp"
13,"20210126_VG_exp_16_Tri_b_BX_07","Analyte","HDMBOA_Glc",NA,NA,"Tri_b","comp","Tri","b","b_comp"
14,"20210126_VG_exp_16_Tri_b_08","Analyte","HDMBOA_Glc",NA,NA,"Tri_b","no","Tri","b","b_no"
15,"20210126_VG_exp_16_Tri_b_BX_09","Analyte","HDMBOA_Glc",NA,NA,"Tri_b","comp","Tri","b","b_comp"
16,"20210126_VG_exp_16_Tri_b_BX_10","Analyte","HDMBOA_Glc",NA,NA,"Tri_b","comp","Tri","b","b_comp"
17,"20210126_VG_exp_16_Tri_b_11","Analyte","HDMBOA_Glc",NA,NA,"Tri_b","no","Tri","b","b_no"
18,"20210126_VG_exp_16_Tri_W_12","Analyte","HDMBOA_Glc",6.654,17,"Tri_W","no","Tri","W","W_no"
19,"20210126_VG_exp_16_Tri_b_BX_13","Analyte","HDMBOA_Glc",NA,NA,"Tri_b","comp","Tri","b","b_comp"
20,"20210126_VG_exp_16_Tri_W_13","Analyte","HDMBOA_Glc",7.84,19.4,"Tri_W","no","Tri","W","W_no"
22,"20210126_VG_exp_16_Tri_b_BX_16","Analyte","HDMBOA_Glc",NA,NA,"Tri_b","comp","Tri","b","b_comp"
23,"20210126_VG_exp_16_Tri_W_16","Analyte","HDMBOA_Glc",29.479,64.1,"Tri_W","no","Tri","W","W_no"
24,"20210126_VG_exp_16_Tri_b_16","Analyte","HDMBOA_Glc",NA,NA,"Tri_b","no","Tri","b","b_no"
5,"20210126_VG_exp_16_Tri_b_BX_01","Analyte","MBOA",15.326,1.9,"Tri_b","comp","Tri","b","b_comp"
6,"20210126_VG_exp_16_Tri_b_02","Analyte","MBOA",NA,NA,"Tri_b","no","Tri","b","b_no"
7,"20210126_VG_exp_16_Tri_W_02","Analyte","MBOA",771.784,91,"Tri_W","no","Tri","W","W_no"
8,"20210126_VG_exp_16_Tri_b_03","Analyte","MBOA",2.374,0.4,"Tri_b","no","Tri","b","b_no"
9,"20210126_VG_exp_16_Tri_W_03","Analyte","MBOA",1320.409,155.6,"Tri_W","no","Tri","W","W_no"
11,"20210126_VG_exp_16_Tri_b_05","Analyte","MBOA",NA,NA,"Tri_b","no","Tri","b","b_no"
12,"20210126_VG_exp_16_Tri_W_05","Analyte","MBOA",1813.724,213.7,"Tri_W","no","Tri","W","W_no"
13,"20210126_VG_exp_16_Tri_b_BX_07","Analyte","MBOA",15.928,2,"Tri_b","comp","Tri","b","b_comp"
14,"20210126_VG_exp_16_Tri_b_08","Analyte","MBOA",6.531,0.9,"Tri_b","no","Tri","b","b_no"
15,"20210126_VG_exp_16_Tri_b_BX_09","Analyte","MBOA",18.878,2.4,"Tri_b","comp","Tri","b","b_comp"
