sample_id,precrop,trt,complementation,trt_comp,compound,ng_mL
Tri.b.BX.10,Tri,b,BX,b_comp,DIMBOA_Glc,9.6
Tri.W.10,Tri,W,no,W_no,DIMBOA_Glc,279.1
Tri.b.10,Tri,b,no,b_no,DIMBOA_Glc,3.2
Tri.b.BX.01,Tri,b,BX,b_comp,HDMBOA_Glc,NA
Tri.W.01,Tri,W,no,W_no,HDMBOA_Glc,130.2
Tri.b.01,Tri,b,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.02,Tri,b,BX,b_comp,HDMBOA_Glc,1.8
Tri.W.02,Tri,W,no,W_no,HDMBOA_Glc,126.9
Tri.b.02,Tri,b,no,b_no,HDMBOA_Glc,3.2
Tri.b.BX.03,Tri,b,BX,b_comp,HDMBOA_Glc,3.7
Tri.W.03,Tri,W,no,W_no,HDMBOA_Glc,83.1
Tri.b.03,Tri,b,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.04,Tri,b,BX,b_comp,HDMBOA_Glc,NA
Tri.W.04,Tri,W,no,W_no,HDMBOA_Glc,100.6
Tri.b.04,Tri,b,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.05,Tri,b,BX,b_comp,HDMBOA_Glc,NA
Tri.W.05,Tri,W,no,W_no,HDMBOA_Glc,126.1
Tri.b.05,Tri,b,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.06,Tri,b,BX,b_comp,HDMBOA_Glc,2.9
Tri.W.06,Tri,W,no,W_no,HDMBOA_Glc,130.6
Tri.b.06,Tri,b,no,b_no,HDMBOA_Glc,NA
Tri.W.07,Tri,W,no,W_no,HDMBOA_Glc,183.2
Tri.b.07,Tri,b,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.08,Tri,b,BX,b_comp,HDMBOA_Glc,NA
Tri.W.08,Tri,W,no,W_no,HDMBOA_Glc,160.8
Tri.b.08,Tri,b,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.09,Tri,b,BX,b_comp,HDMBOA_Glc,NA
Tri.W.09,Tri,W,no,W_no,HDMBOA_Glc,120.6
Tri.b.09,Tri,b,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.10,Tri,b,BX,b_comp,HDMBOA_Glc,4.5
Tri.W.10,Tri,W,no,W_no,HDMBOA_Glc,71
Tri.b.10,Tri,b,no,b_no,HDMBOA_Glc,NA
Tri.b.BX.01,Tri,b,BX,b_comp,HMBOA,3
Tri.W.01,Tri,W,no,W_no,HMBOA,601.6
Tri.b.01,Tri,b,no,b_no,HMBOA,7.4
Tri.b.BX.02,Tri,b,BX,b_comp,HMBOA,4.1
Tri.W.02,Tri,W,no,W_no,HMBOA,505.5
Tri.b.02,Tri,b,no,b_no,HMBOA,4.8
Tri.b.BX.03,Tri,b,BX,b_comp,HMBOA,4.9
Tri.W.03,Tri,W,no,W_no,HMBOA,338.5
Tri.b.03,Tri,b,no,b_no,HMBOA,4.8
Tri.b.BX.04,Tri,b,BX,b_comp,HMBOA,4
Tri.W.04,Tri,W,no,W_no,HMBOA,365.2
Tri.b.04,Tri,b,no,b_no,HMBOA,3
Tri.b.BX.05,Tri,b,BX,b_comp,HMBOA,3.8
Tri.W.05,Tri,W,no,W_no,HMBOA,387.7
Tri.b.05,Tri,b,no,b_no,HMBOA,NA
Tri.b.BX.06,Tri,b,BX,b_comp,HMBOA,4.4
Tri.W.06,Tri,W,no,W_no,HMBOA,594.5
Tri.b.06,Tri,b,no,b_no,HMBOA,2.3
Tri.W.07,Tri,W,no,W_no,HMBOA,568.1
Tri.b.07,Tri,b,no,b_no,HMBOA,1.9
Tri.b.BX.08,Tri,b,BX,b_comp,HMBOA,4
Tri.W.08,Tri,W,no,W_no,HMBOA,523.4
Tri.b.08,Tri,b,no,b_no,HMBOA,2.6
Tri.b.BX.09,Tri,b,BX,b_comp,HMBOA,3.9
Tri.W.09,Tri,W,no,W_no,HMBOA,406
Tri.b.09,Tri,b,no,b_no,HMBOA,2
Tri.b.BX.10,Tri,b,BX,b_comp,HMBOA,7.2
Tri.W.10,Tri,W,no,W_no,HMBOA,267.3
Tri.b.10,Tri,b,no,b_no,HMBOA,2.5
Tri.b.BX.01,Tri,b,BX,b_comp,MBOA,3.4
Tri.W.01,Tri,W,no,W_no,MBOA,255.2
Tri.b.01,Tri,b,no,b_no,MBOA,5.1
Tri.b.BX.02,Tri,b,BX,b_comp,MBOA,11.4
Tri.W.02,Tri,W,no,W_no,MBOA,234.5
Tri.b.02,Tri,b,no,b_no,MBOA,2.7
Tri.b.BX.03,Tri,b,BX,b_comp,MBOA,8
Tri.W.03,Tri,W,no,W_no,MBOA,155.8
Tri.b.03,Tri,b,no,b_no,MBOA,3.6
Tri.b.BX.04,Tri,b,BX,b_comp,MBOA,9.9
Tri.W.04,Tri,W,no,W_no,MBOA,191.5
Tri.b.04,Tri,b,no,b_no,MBOA,2.3
Tri.b.BX.05,Tri,b,BX,b_comp,MBOA,7.3
Tri.W.05,Tri,W,no,W_no,MBOA,185
Tri.b.05,Tri,b,no,b_no,MBOA,1.3
Tri.b.BX.06,Tri,b,BX,b_comp,MBOA,10.6
Tri.W.06,Tri,W,no,W_no,MBOA,307.7
Tri.b.06,Tri,b,no,b_no,MBOA,1.5
Tri.W.07,Tri,W,no,W_no,MBOA,291.3
Tri.b.07,Tri,b,no,b_no,MBOA,1.4
Tri.b.BX.08,Tri,b,BX,b_comp,MBOA,5.5
Tri.W.08,Tri,W,no,W_no,MBOA,222.3
Tri.b.08,Tri,b,no,b_no,MBOA,3
Tri.b.BX.09,Tri,b,BX,b_comp,MBOA,3.8
Tri.W.09,Tri,W,no,W_no,MBOA,229
Tri.b.09,Tri,b,no,b_no,MBOA,1.8
Tri.b.BX.10,Tri,b,BX,b_comp,MBOA,6.4
Tri.W.10,Tri,W,no,W_no,MBOA,166
Tri.b.10,Tri,b,no,b_no,MBOA,2.3
